InputID,Busstops_Count_Pointsdensity,Company_Count_Pointsdensity,Daily_Count_Pointsdensity,Green_Count_Densitypoints,Hospital_Count_Pointsdensity,Restuarant_Count_Pointsdensity,Sample_Count_Pointsdensity,Shops_Count_Pointsdensity,Subway_Count_Pointsdensity,Merged_pm25mean,Merged_pm10mean,Merged_no2mean,Merged_so2mean,Education_Count_Pointsdensity,Carroads_Roadensity
4.20114E+11,0.000276769,0.004228093,0.002881832,0.004453792,0.005742147,0.016394785,0.009599045,0.016394785,0,0.901507954,0.796070723,0.420185494,0.929601557,0.007478635,0.087160902
4.20114E+11,0.000276769,0.004228093,0.002881832,0.004453792,0.005742147,0.016394785,0.009599045,0.016394785,0,1.043553828,1.025958307,0.965272468,0.874595548,0.007478635,0.087160902
4.20114E+11,0.00072358,0.007474665,0.005669178,0.023287803,0.008774216,0.018960925,0.009817205,0.018960925,0,0.942711294,0.981634703,1.157081375,1.197393971,0.006700656,0.105664334
4.20114E+11,0.011541103,0.010922574,0.010047042,0.025762132,0.011403797,0.012631112,0.013525926,0.012631112,0,1.035207511,1.163502438,1.001840148,1.147599057,0.011569297,0.067564841
4.20114E+11,0.011541103,0.010922574,0.010047042,0.025762132,0.011403797,0.012631112,0.013525926,0.012631112,0,0.901507954,0.796070723,0.420185494,0.929601557,0.011569297,0.067564841
4.20114E+11,0.011541103,0.010922574,0.010047042,0.025762132,0.011403797,0.012631112,0.013525926,0.012631112,0,1.043553828,1.025958307,0.965272468,0.874595548,0.011569297,0.067564841
4.20114E+11,0.015593151,0.024412205,0.015905193,0.004250024,0.018031415,0.018675798,0.009544505,0.018675798,0,0.942711294,0.981634703,1.157081375,1.197393971,0.013551888,0.120201048
4.20114E+11,0.011541103,0.010922574,0.010047042,0.025762132,0.011403797,0.012631112,0.013525926,0.012631112,0,0.932833058,0.959300618,1.149310743,0.894571415,0.011569297,0.067564841
4.20114E+11,0.011541103,0.010922574,0.010047042,0.025762132,0.011403797,0.012631112,0.013525926,0.012631112,0,0.989302764,1.077549102,1.038236416,0.989818662,0.011569297,0.067564841
4.20114E+11,0.011541103,0.010922574,0.010047042,0.025762132,0.011403797,0.012631112,0.013525926,0.012631112,0,1.036158357,0.959551211,1.114285763,0.924969472,0.011569297,0.067564841
4.20114E+11,0.011541103,0.010922574,0.010047042,0.025762132,0.011403797,0.012631112,0.013525926,0.012631112,0,0.933466955,0.927350034,0.790947483,NA,0.011569297,0.067564841
4.20114E+11,0.011215492,0.011488837,0.001905474,0.002503439,0.002763744,0.019673742,0.012216966,0.019673742,0,1.043553828,1.025958307,0.965272468,0.874595548,0.003889894,0.084678734
