fid,InputID,TargetID,Distance,Busstops_Count_Pointsdensity,Company_Count_Pointsdensity,Daily_Count_Pointsdensity,Green_Count_Densitypoints,Hospital_Count_Pointsdensity,Restuarant_Count_Pointsdensity,Sample_Count_Pointsdensity,Shops_Count_Pointsdensity,Subway_Count_Pointsdensity,Merged_pm25mean,Merged_pm10mean,Merged_no2mean,Merged_so2mean
"1339","420115089000",1329A,34289.2665026979,1.80151038201021e-07,4.05339835952298e-07,3.60302076402043e-08,6.30528633703575e-08,1.26105726740715e-07,4.50377595502553e-08,0,4.50377595502553e-08,0,,,,
"1340","420115089000",1328A,29236.2598069899,1.80151038201021e-07,4.05339835952298e-07,3.60302076402043e-08,6.30528633703575e-08,1.26105726740715e-07,4.50377595502553e-08,0,4.50377595502553e-08,0,,,,
"1341","420115016000",1333A,66174.9679229623,0,7.17413000027268e-08,3.58706500013634e-08,8.96766250034085e-09,4.48383125017042e-08,8.96766250034085e-09,8.96766250034085e-09,8.96766250034085e-09,0,,,,
"1342","420115016000",1334A,67377.5726245002,0,7.17413000027268e-08,3.58706500013634e-08,8.96766250034085e-09,4.48383125017042e-08,8.96766250034085e-09,8.96766250034085e-09,8.96766250034085e-09,0,,,,
"1343","420115016000",1332A,45401.5797168328,0,7.17413000027268e-08,3.58706500013634e-08,8.96766250034085e-09,4.48383125017042e-08,8.96766250034085e-09,8.96766250034085e-09,8.96766250034085e-09,0,,,,
"1344","420115016000",1325A,53347.2525316235,0,7.17413000027268e-08,3.58706500013634e-08,8.96766250034085e-09,4.48383125017042e-08,8.96766250034085e-09,8.96766250034085e-09,8.96766250034085e-09,0,,,,
"1345","420115016000",1330A,47546.056526259,0,7.17413000027268e-08,3.58706500013634e-08,8.96766250034085e-09,4.48383125017042e-08,8.96766250034085e-09,8.96766250034085e-09,8.96766250034085e-09,0,,,,
"1346","420115016000",1327A,57520.6367173012,0,7.17413000027268e-08,3.58706500013634e-08,8.96766250034085e-09,4.48383125017042e-08,8.96766250034085e-09,8.96766250034085e-09,8.96766250034085e-09,0,,,,
"1347","420115016000",1331A,57733.7999157159,0,7.17413000027268e-08,3.58706500013634e-08,8.96766250034085e-09,4.48383125017042e-08,8.96766250034085e-09,8.96766250034085e-09,8.96766250034085e-09,0,,,,
"1348","420115016000",1326A,53667.0859320638,0,7.17413000027268e-08,3.58706500013634e-08,8.96766250034085e-09,4.48383125017042e-08,8.96766250034085e-09,8.96766250034085e-09,8.96766250034085e-09,0,,,,
"1349","420115016000",1329A,56382.4439756487,0,7.17413000027268e-08,3.58706500013634e-08,8.96766250034085e-09,4.48383125017042e-08,8.96766250034085e-09,8.96766250034085e-09,8.96766250034085e-09,0,,,,
"1350","420115016000",1328A,49695.2517240212,0,7.17413000027268e-08,3.58706500013634e-08,8.96766250034085e-09,4.48383125017042e-08,8.96766250034085e-09,8.96766250034085e-09,8.96766250034085e-09,0,,,,
"1351","420115404000",1333A,55288.8945905359,7.88225377078251e-08,3.152901508313e-08,0,1.5764507541565e-08,3.152901508313e-08,0,0,0,0,,,,
"1352","420115404000",1334A,62036.0878480019,7.88225377078251e-08,3.152901508313e-08,0,1.5764507541565e-08,3.152901508313e-08,0,0,0,0,,,,
"1353","420115404000",1332A,33671.0218236948,7.88225377078251e-08,3.152901508313e-08,0,1.5764507541565e-08,3.152901508313e-08,0,0,0,0,,,,
"1354","420115404000",1325A,41631.2878051889,7.88225377078251e-08,3.152901508313e-08,0,1.5764507541565e-08,3.152901508313e-08,0,0,0,0,,,,
"1355","420115404000",1330A,37116.726496828,7.88225377078251e-08,3.152901508313e-08,0,1.5764507541565e-08,3.152901508313e-08,0,0,0,0,,,,
"1356","420115404000",1327A,45925.2423006635,7.88225377078251e-08,3.152901508313e-08,0,1.5764507541565e-08,3.152901508313e-08,0,0,0,0,,,,
"1357","420115404000",1331A,45992.6410059652,7.88225377078251e-08,3.152901508313e-08,0,1.5764507541565e-08,3.152901508313e-08,0,0,0,0,,,,
"1358","420115404000",1326A,42353.2700724603,7.88225377078251e-08,3.152901508313e-08,0,1.5764507541565e-08,3.152901508313e-08,0,0,0,0,,,,
"1359","420115404000",1329A,44645.8881493689,7.88225377078251e-08,3.152901508313e-08,0,1.5764507541565e-08,3.152901508313e-08,0,0,0,0,,,,
