fid,InputID,TargetID
"373","420104005000",1332A
"374","420104005000",1325A
"375","420104005000",1330A
"376","420104005000",1327A
"377","420104005000",1331A
"378","420104005000",1326A
"379","420104005000",1329A
"380","420104005000",1328A
"381","420104006000",1333A
"382","420104006000",1334A
"383","420104006000",1332A
"384","420104006000",1325A
"385","420104006000",1330A
"386","420104006000",1327A
"387","420104006000",1331A
"388","420104006000",1326A
"389","420104006000",1329A
"390","420104006000",1328A
"391","420103006000",1333A
"392","420103006000",1334A
"393","420103006000",1332A
"394","420103006000",1325A
"395","420103006000",1330A
"396","420103006000",1327A
"397","420103006000",1331A
"398","420103006000",1326A
"399","420103006000",1329A
"400","420103006000",1328A
"401","420103010000",1333A
"402","420103010000",1334A
"403","420103010000",1332A
"404","420103010000",1325A
"405","420103010000",1330A
"406","420103010000",1327A
"407","420103010000",1331A
"408","420103010000",1326A
"409","420103010000",1329A
"410","420103010000",1328A
"411","420103013000",1333A
"412","420103013000",1334A
"413","420103013000",1332A
"414","420103013000",1325A
"415","420103013000",1330A
"416","420103013000",1327A
"417","420103013000",1331A
"418","420103013000",1326A
"419","420103013000",1329A
"420","420103013000",1328A
"421","420103001000",1333A
"422","420103001000",1334A
"423","420103001000",1332A
"424","420103001000",1325A
"425","420103001000",1330A
"426","420103001000",1327A
"427","420103001000",1331A
"428","420103001000",1326A
"429","420103001000",1329A
"430","420103001000",1328A
"431","420103011000",1333A
"432","420103011000",1334A
"433","420103011000",1332A
"434","420103011000",1325A
"435","420103011000",1330A
"436","420103011000",1327A
"437","420103011000",1331A
"438","420103011000",1326A
"439","420103011000",1329A
"440","420103011000",1328A
"441","420103012000",1333A
"442","420103012000",1334A
"443","420103012000",1332A
"444","420103012000",1325A
"445","420103012000",1330A
"446","420103012000",1327A
"447","420103012000",1331A
"448","420103012000",1326A
"449","420103012000",1329A
"450","420103012000",1328A
"451","420103003000",1333A
"452","420103003000",1334A
"453","420103003000",1332A
"454","420103003000",1325A
"455","420103003000",1330A
"456","420103003000",1327A
"457","420103003000",1331A
"458","420103003000",1326A
"459","420103003000",1329A
"460","420103003000",1328A
"461","420103009000",1333A
"462","420103009000",1334A
"463","420103009000",1332A
"464","420103009000",1325A
"465","420103009000",1330A
"466","420103009000",1327A
"467","420103009000",1331A
"468","420103009000",1326A
"469","420103009000",1329A
"470","420103009000",1328A
"471","420103005000",1333A
"472","420103005000",1334A
"473","420103005000",1332A
"474","420103005000",1325A
"475","420103005000",1330A
"476","420103005000",1327A
"477","420103005000",1331A
"478","420103005000",1326A
"479","420103005000",1329A
"480","420103005000",1328A
"481","420103004000",1333A
"482","420103004000",1334A
"483","420103004000",1332A
"484","420103004000",1325A
"485","420103004000",1330A
"486","420103004000",1327A
"487","420103004000",1331A
"488","420103004000",1326A
"489","420103004000",1329A
"490","420103004000",1328A
"491","420103002000",1333A
"492","420103002000",1334A
"493","420103002000",1332A
"494","420103002000",1325A
"495","420103002000",1330A
"496","420103002000",1327A
"497","420103002000",1331A
"498","420103002000",1326A
"499","420103002000",1329A
"500","420103002000",1328A
"501","420103007000",1333A
"502","420103007000",1334A
"503","420103007000",1332A
"504","420103007000",1325A
"505","420103007000",1330A
"506","420103007000",1327A
"507","420103007000",1331A
"508","420103007000",1326A
"509","420103007000",1329A
"510","420103007000",1328A
"511","420102006000",1333A
"512","420102006000",1334A
"513","420102006000",1332A
"514","420102006000",1325A
"515","420102006000",1330A
"516","420102006000",1327A
"517","420102006000",1331A
"518","420102006000",1326A
"519","420102006000",1329A
"520","420102006000",1328A
"521","420102014000",1333A
"522","420102014000",1334A
"523","420102014000",1332A
"524","420102014000",1325A
"525","420102014000",1330A
"526","420102014000",1327A
"527","420102014000",1331A
"528","420102014000",1326A
"529","420102014000",1329A
"530","420102014000",1328A
"531","420102016000",1333A
"532","420102016000",1334A
"533","420102016000",1332A
"534","420102016000",1325A
"535","420102016000",1330A
"536","420102016000",1327A
"537","420102016000",1331A
"538","420102016000",1326A
"539","420102016000",1329A
"540","420102016000",1328A
"541","420102008000",1333A
"542","420102008000",1334A
"543","420102008000",1332A
"544","420102008000",1325A
"545","420102008000",1330A
"546","420102008000",1327A
"547","420102008000",1331A
"548","420102008000",1326A
"549","420102008000",1329A
"550","420102008000",1328A
"551","420102002000",1333A
"552","420102002000",1334A
"553","420102002000",1332A
"554","420102002000",1325A
"555","420102002000",1330A
"556","420102002000",1327A
"557","420102002000",1331A
"558","420102002000",1326A
"559","420102002000",1329A
"560","420102002000",1328A
"561","420102015000",1333A
"562","420102015000",1334A
"563","420102015000",1332A
"564","420102015000",1325A
"565","420102015000",1330A
"566","420102015000",1327A
"567","420102015000",1331A
"568","420102015000",1326A
"569","420102015000",1329A
"570","420102015000",1328A
"571","420102004000",1333A
"572","420102004000",1334A
"573","420102004000",1332A
"574","420102004000",1325A
"575","420102004000",1330A
"576","420102004000",1327A
"577","420102004000",1331A
"578","420102004000",1326A
"579","420102004000",1329A
"580","420102004000",1328A
"581","420102005000",1333A
"582","420102005000",1334A
"583","420102005000",1332A
"584","420102005000",1325A
"585","420102005000",1330A
"586","420102005000",1327A
"587","420102005000",1331A
"588","420102005000",1326A
"589","420102005000",1329A
"590","420102005000",1328A
