城市,监测点,监测点代码,日期,aqi,PM2_5,pm10,co,no2,o3,so2,空气质量等级,首要污染物
武汉,沉湖七壕,1334A,2017/3/23,51,35,42,1.08,22,43,4,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/3/24,46,32,0,0.71,7,53,2,优,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/3/25,59,31,70,0.78,6,61,5,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/3/26,85,28,120,0.79,12,78,5,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/3/27,78,30,107,0.8,39,67,6,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/3/28,65,37,79,0.86,27,64,10,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/3/29,94,69,113,0.96,20,70,10,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/3/30,73,53,72,0.8,19,46,8,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/3/31,46,26,45,0.45,9,105,7,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/4/1,56,39,52,0.55,14,84,7,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/4/2,56,28,58,0.54,22,87,9,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/4/3,76,47,100,0.73,29,70,14,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/4/4,74,53,85,0.82,27,48,13,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/4/5,102,83,87,1.33,35,18,10,轻度污染,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/4/6,45,31,37,1,16,36,10,优,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/4/7,46,29,51,1.16,26,39,11,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/4/8,50,31,53,1.24,17,31,11,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/4/9,23,2,9,0.83,7,63,11,优,
武汉,沉湖七壕,1334A,2017/4/10,27,3,13,0.5,7,81,11,优,
武汉,沉湖七壕,1334A,2017/4/11,38,22,37,0.74,10,84,11,优,
武汉,沉湖七壕,1334A,2017/4/12,82,60,42,0.87,10,97,29,良,细颗粒物(PM2.5)
武汉,沉湖七壕,1334A,2017/4/13,52,29,50,1,9,107,25,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/4/14,63,36,73,0.92,27,82,7,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/4/15,85,49,112,1.2,25,82,8,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/4/16,57,37,65,1.18,22,51,4,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/4/17,45,12,48,0.82,5,88,4,优,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/4/18,80,27,109,0.97,10,89,7,良,颗粒物(PM10)
武汉,沉湖七壕,1334A,2017/4/19,85,41,121,1.14,37,51,6,良,颗粒物(PM10)
