wkt_geom,fid,InputID,TargetID,Distance,Busstops_Count_Pointsdensity,Company_Count_Pointsdensity,Daily_Count_Pointsdensity,Green_Count_Densitypoints,Hospital_Count_Pointsdensity,Restuarant_Count_Pointsdensity,Sample_Count_Pointsdensity,Shops_Count_Pointsdensity,Subway_Count_Pointsdensity,Merged_pm25mean,Merged_pm10mean,Merged_no2mean,Merged_so2mean,Education_Count_Pointsdensity,Carroads_Roadensity
"MultiPoint ((114.29026394144194967 30.57834792107671973),(114.35354139999999745 30.58268419999999921))",494,4.20103E+11,1325A,6088.566724,0.000135602,0.00016616,0.000234916,1.91E-05,1.72E-05,3.44E-05,3.82E-06,3.44E-05,1.91E-06,48.41369863,81.10958904,37.9260274,,6.68E-05,116.412
"MultiPoint ((114.29026394144194967 30.57834792107671973),(114.3843389999999971 30.51554900000000004))",493,4.20103E+11,1332A,11399.64209,0.000135602,0.00016616,0.000234916,1.91E-05,1.72E-05,3.44E-05,3.82E-06,3.44E-05,1.91E-06,53.69041096,101.7643836,48.03835616,10.86027397,6.68E-05,116.412
"MultiPoint ((113.83930180000000121 30.32458189999999831),(114.29026394144194967 30.57834792107671973))",492,4.20103E+11,1334A,51647.62644,0.000135602,0.00016616,0.000234916,1.91E-05,1.72E-05,3.44E-05,3.82E-06,3.44E-05,1.91E-06,46.75616438,69.62739726,20.14794521,8.797260274,6.68E-05,116.412
"MultiPoint ((114.26802260101200659 30.61482920845775979),(114.38645699999999295 30.62975099999999884))",467,4.20103E+11,1331A,11475.19262,8.65E-05,0.000122005,0.000117661,1.09E-06,5.58E-05,8.33E-06,1.30E-05,8.33E-06,1.09E-06,48.38082192,83.90410959,55.10958904,8.465753425,6.26E-05,140.84
"MultiPoint ((114.26802260101200659 30.61482920845775979),(114.29549799999999493 30.6063459999999985))",466,4.20103E+11,1327A,2797.447209,8.65E-05,0.000122005,0.000117661,1.09E-06,5.58E-05,8.33E-06,1.30E-05,8.33E-06,1.09E-06,51.30958904,94.24657534,49.78356164,9.367123288,6.26E-05,140.84
"MultiPoint ((114.21022589999999752 30.46695070000000172),(114.26802260101200659 30.61482920845775979))",465,4.20103E+11,1330A,17306.76258,8.65E-05,0.000122005,0.000117661,1.09E-06,5.58E-05,8.33E-06,1.30E-05,8.33E-06,1.09E-06,53.73972603,83.9260274,53.43013699,8.753424658,6.26E-05,140.84
"MultiPoint ((114.26802260101200659 30.61482920845775979),(114.35354139999999745 30.58268419999999921))",464,4.20103E+11,1325A,8942.196485,8.65E-05,0.000122005,0.000117661,1.09E-06,5.58E-05,8.33E-06,1.30E-05,8.33E-06,1.09E-06,48.41369863,81.10958904,37.9260274,,6.26E-05,140.84
"MultiPoint ((114.13591800000000376 30.62591507000000135),(114.27794728330630392 30.57295265705190701))",471,4.20103E+11,1333A,14832.41129,0.000139227,0.000234945,0.000121824,1.45E-05,4.64E-05,1.16E-05,2.32E-05,1.16E-05,2.90E-06,54.12328767,89.73424658,46.28493151,8.276712329,3.77E-05,107.246
"MultiPoint ((114.26802260101200659 30.61482920845775979),(114.30494500000000357 30.53393900000000016))",470,4.20103E+11,1328A,9641.754476,8.65E-05,0.000122005,0.000117661,1.09E-06,5.58E-05,8.33E-06,1.30E-05,8.33E-06,1.09E-06,48.89315068,85.85753425,55.48219178,11.33150685,6.26E-05,140.84
"MultiPoint ((114.26802260101200659 30.61482920845775979),(114.39685199999999554 30.61899500000000174))",469,4.20103E+11,1329A,12361.29692,8.65E-05,0.000122005,0.000117661,1.09E-06,5.58E-05,8.33E-06,1.30E-05,8.33E-06,1.09E-06,61.99726027,95.99452055,50.93972603,9.561643836,6.26E-05,140.84
"MultiPoint ((114.25827400000000011 30.55532499999999985),(114.26802260101200659 30.61482920845775979))",468,4.20103E+11,1326A,6662.714654,8.65E-05,0.000122005,0.000117661,1.09E-06,5.58E-05,8.33E-06,1.30E-05,8.33E-06,1.09E-06,49.46027397,84.0739726,51.39452055,9.263013699,6.26E-05,140.84
"MultiPoint ((114.21022589999999752 30.46695070000000172),(114.27794728330630392 30.57295265705190701))",475,4.20103E+11,1330A,13429.29782,0.000139227,0.000234945,0.000121824,1.45E-05,4.64E-05,1.16E-05,2.32E-05,1.16E-05,2.90E-06,53.73972603,83.9260274,53.43013699,8.753424658,3.77E-05,107.246
"MultiPoint ((114.27794728330630392 30.57295265705190701),(114.35354139999999745 30.58268419999999921))",474,4.20103E+11,1325A,7330.989829,0.000139227,0.000234945,0.000121824,1.45E-05,4.64E-05,1.16E-05,2.32E-05,1.16E-05,2.90E-06,48.41369863,81.10958904,37.9260274,,3.77E-05,107.246
"MultiPoint ((114.27794728330630392 30.57295265705190701),(114.3843389999999971 30.51554900000000004))",473,4.20103E+11,1332A,12029.94858,0.000139227,0.000234945,0.000121824,1.45E-05,4.64E-05,1.16E-05,2.32E-05,1.16E-05,2.90E-06,53.69041096,101.7643836,48.03835616,10.86027397,3.77E-05,107.246
"MultiPoint ((113.83930180000000121 30.32458189999999831),(114.27794728330630392 30.57295265705190701))",472,4.20103E+11,1334A,50330.92709,0.000139227,0.000234945,0.000121824,1.45E-05,4.64E-05,1.16E-05,2.32E-05,1.16E-05,2.90E-06,46.75616438,69.62739726,20.14794521,8.797260274,3.77E-05,107.246
"MultiPoint ((114.27794728330630392 30.57295265705190701),(114.39685199999999554 30.61899500000000174))",479,4.20103E+11,1329A,12493.77653,0.000139227,0.000234945,0.000121824,1.45E-05,4.64E-05,1.16E-05,2.32E-05,1.16E-05,2.90E-06,61.99726027,95.99452055,50.93972603,9.561643836,3.77E-05,107.246
"MultiPoint ((114.25827400000000011 30.55532499999999985),(114.27794728330630392 30.57295265705190701))",478,4.20103E+11,1326A,2716.840708,0.000139227,0.000234945,0.000121824,1.45E-05,4.64E-05,1.16E-05,2.32E-05,1.16E-05,2.90E-06,49.46027397,84.0739726,51.39452055,9.263013699,3.77E-05,107.246
"MultiPoint ((114.27794728330630392 30.57295265705190701),(114.38645699999999295 30.62975099999999884))",477,4.20103E+11,1331A,12162.84012,0.000139227,0.000234945,0.000121824,1.45E-05,4.64E-05,1.16E-05,2.32E-05,1.16E-05,2.90E-06,48.38082192,83.90410959,55.10958904,8.465753425,3.77E-05,107.246
"MultiPoint ((114.27794728330630392 30.57295265705190701),(114.29549799999999493 30.6063459999999985))",476,4.20103E+11,1327A,4066.793757,0.000139227,0.000234945,0.000121824,1.45E-05,4.64E-05,1.16E-05,2.32E-05,1.16E-05,2.90E-06,51.30958904,94.24657534,49.78356164,9.367123288,3.77E-05,107.246
"MultiPoint ((114.13591800000000376 30.62591507000000135),(114.28201743617051989 30.58374154011088208))",451,4.20103E+11,1333A,14769.87502,0.000224128,0.000302876,0.000236243,2.42E-05,5.75E-05,4.85E-05,9.09E-06,4.85E-05,0,54.12328767,89.73424658,46.28493151,8.276712329,9.39E-05,136.364
"MultiPoint ((114.24868651411939879 30.61338676014003113),(114.30494500000000357 30.53393900000000016))",450,4.20103E+11,1328A,10329.59926,7.70E-05,0.000141928,5.35E-05,1.77E-06,4.24E-05,9.34E-06,1.19E-05,9.34E-06,7.58E-07,48.89315068,85.85753425,55.48219178,11.33150685,3.96E-05,118.939
"MultiPoint ((114.24868651411939879 30.61338676014003113),(114.39685199999999554 30.61899500000000174))",449,4.20103E+11,1329A,14220.38984,7.70E-05,0.000141928,5.35E-05,1.77E-06,4.24E-05,9.34E-06,1.19E-05,9.34E-06,7.58E-07,61.99726027,95.99452055,50.93972603,9.561643836,3.96E-05,118.939
"MultiPoint ((114.24868651411939879 30.61338676014003113),(114.25827400000000011 30.55532499999999985))",448,4.20103E+11,1326A,6502.219471,7.70E-05,0.000141928,5.35E-05,1.77E-06,4.24E-05,9.34E-06,1.19E-05,9.34E-06,7.58E-07,49.46027397,84.0739726,51.39452055,9.263013699,3.96E-05,118.939
"MultiPoint ((114.21022589999999752 30.46695070000000172),(114.28201743617051989 30.58374154011088208))",455,4.20103E+11,1330A,14666.75935,0.000224128,0.000302876,0.000236243,2.42E-05,5.75E-05,4.85E-05,9.09E-06,4.85E-05,0,53.73972603,83.9260274,53.43013699,8.753424658,9.39E-05,136.364
